# family	folder	unit	phase	identifier	flows	packet-types	records	codecs	index
Container	ContainerSetContent	ContainerSetContent	Play	container_set_content	Clientbound	ItemPackets.Clientbound.ContainerSetContent	ClientboundContainerSetContentPacket	ContainerCodecs.ContainerSetContent770,ContainerCodecs.ContainerSetContent776,ContainerCodecs.ContainerSetContentV1_13,ContainerCodecs.ContainerSetContentV1_13_2,ContainerCodecs.ContainerSetContentV1_14,ContainerCodecs.ContainerSetContentV1_17_1,ContainerCodecs.ContainerSetContentV1_20_2,ContainerCodecs.ContainerSetContentV1_20_5,ContainerCodecs.ContainerSetContentV1_21,ContainerCodecs.ContainerSetContentV1_8	ItemBindings
Container	ContainerSetData	ContainerSetData	Play	container_set_data	Clientbound	ItemPackets.Clientbound.ContainerSetData	ClientboundContainerSetDataPacket	ContainerCodecs.ContainerSetDataModern,ContainerCodecs.ContainerSetDataV1_8	ItemBindings
Container	ContainerSetSlot	ContainerSetSlot	Play	container_set_slot	Clientbound	ItemPackets.Clientbound.ContainerSetSlot	ClientboundContainerSetSlotPacket	ContainerCodecs.ContainerSetSlot770,ContainerCodecs.ContainerSetSlot776,ContainerCodecs.ContainerSetSlotV1_13,ContainerCodecs.ContainerSetSlotV1_13_2,ContainerCodecs.ContainerSetSlotV1_14,ContainerCodecs.ContainerSetSlotV1_17_1,ContainerCodecs.ContainerSetSlotV1_20_2,ContainerCodecs.ContainerSetSlotV1_20_5,ContainerCodecs.ContainerSetSlotV1_21,ContainerCodecs.ContainerSetSlotV1_9,ContainerCodecs.SetSlotV1_8	ItemBindings
Container	ContainerSlotStateChanged	ContainerSlotStateChanged	Play	container_slot_state_changed	Serverbound	ItemPackets.Serverbound.ContainerSlotStateChanged	ServerboundContainerSlotStateChangedPacket	ContainerCodecs.ContainerSlotStateChangedModern	ItemBindings
Common	CookieRequest	CookieRequest.Play	Play	cookie_request	Clientbound	PlayPackets.Clientbound.CookieRequest	ClientboundCookieRequestPacket	PlayCommonCodecs.CookieRequest	PlayCoreBindings
Common	CookieResponse	CookieResponse.Play	Play	cookie_response	Serverbound	PlayPackets.Serverbound.CookieResponse	ServerboundCookieResponsePacket	PlayCommonCodecs.CookieResponse	PlayCoreBindings
Ui	Cooldown	Cooldown	Play	cooldown	Clientbound	UiPackets.Clientbound.Cooldown	ClientboundCooldownPacket	UiMiscCodecs.CooldownV1_21_2,UiMiscCodecs.CooldownV1_9	UiBindings
Container	CreativeInventoryAction	CreativeInventoryAction	Play	creative_inventory_action	Serverbound	ItemPackets.Serverbound.LegacyCreativeSlot	ServerboundSetCreativeModeSlotPacket	ContainerCodecs.CreativeSlot770,ContainerCodecs.CreativeSlot776,ContainerCodecs.CreativeSlotV1_13,ContainerCodecs.CreativeSlotV1_13_2,ContainerCodecs.CreativeSlotV1_14,ContainerCodecs.CreativeSlotV1_20_2,ContainerCodecs.CreativeSlotV1_20_5,ContainerCodecs.CreativeSlotV1_21,ContainerCodecs.CreativeSlotV1_8,ContainerCodecs.CreativeSlotV1_9	ItemBindings
Ui	CustomChatCompletions	CustomChatCompletions	Play	custom_chat_completions	Clientbound	UiPackets.Clientbound.CustomChatCompletions	ClientboundCustomChatCompletionsPacket	ChatDisplayCodecs.CustomChatCompletionsV1_19_1	UiBindings
Common	CustomClickAction	CustomClickAction.Play	Play	custom_click_action	Serverbound	UiPackets.Serverbound.CustomClickAction	ServerboundCustomClickActionPacket	UiMiscCodecs.CustomClickActionV1_21_6	UiBindings
Common	CustomReportDetails	CustomReportDetails.Play	Play	custom_report_details	Clientbound	UiPackets.Clientbound.CustomReportDetails	ClientboundCustomReportDetailsPacket	ChatDisplayCodecs.CustomReportDetailsV1_21	UiBindings
World	CustomSound	CustomSound	Play	custom_sound	Clientbound	WorldPackets.Clientbound.CustomSound	ClientboundCustomSoundPacket	WorldEffectCodecs.CustomSoundV1_10,WorldEffectCodecs.CustomSoundV1_19,WorldEffectCodecs.CustomSoundV1_9	WorldBindings
Entity	DamageEvent	DamageEvent	Play	damage_event	Clientbound	EntityPackets.Clientbound.DamageEvent	ClientboundDamageEventPacket	EntityStateCodecs.DamageEvent	EntityBindings
Ui	DeleteChat	DeleteChat	Play	delete_chat	Clientbound	UiPackets.Clientbound.DeleteChat	ClientboundDeleteChatPacket	ChatDisplayCodecs.DeleteChatV1_19_1	UiBindings
Common	Disconnect	Disconnect.Play	Play	disconnect	Clientbound	PlayPackets.Clientbound.Disconnect	ClientboundDisconnectPacket	PlayCommonCodecs.DisconnectV1_20_3,PlayCommonCodecs.DisconnectV1_21_5,PlayCommonCodecs.DisconnectV1_8	PlayCoreBindings
Chat	DisguisedChat	DisguisedChat	Play	disguised_chat	Clientbound	UiPackets.Clientbound.DisguisedChat	ClientboundDisguisedChatPacket	ChatDisplayCodecs.DisguisedChatV1_19_3,ChatDisplayCodecs.DisguisedChatV1_20_3,ChatDisplayCodecs.DisguisedChatV1_21_5	PlayCoreBindings
